Date,Men,Women,Adults,Children,Date Total,Cumulative Adults,Cumulative Children,Cumulative Total
9/2/2023,10,11,21,23,44,4563,1700,6291
9/3/2023,14,16,30,17,47,4593,1717,6338
9/4/2023,8,5,13,5,18,4606,1722,6356
9/5/2023,8,11,19,18,37,4625,1740,6393
9/6/2023,16,12,28,16,44,4653,1756,6437
9/7/2023,4,7,11,11,22,4664,1767,6459
9/8/2023,4,4,8,7,15,4672,1774,6474
9/9/2023,23,22,45,42,87,4717,1816,6561
9/10/2023,5,5,10,6,16,4727,1822,6577
9/11/2023,1,1,2,1,3,4729,1823,6580
9/12/2023,13,13,26,19,45,4755,1842,6625
9/14/2023,12,13,25,19,44,4792,1871,6691
9/15/2023,6,8,14,8,22,4806,1879,6713
9/16/2023,13,11,24,20,44,4830,1899,6757
9/17/2023,3,6,9,4,13,4839,1912,6770
9/18/2023,0,0,0,0,0,0,0,0
9/19/2023,,,,,,,,
9/20/2023,,,,,,,,
9/21/2023,,,,,,,,
9/22/2023,,,,,,,,
9/23/2023,,,,,,,,
9/24/2023,,,,,,,,
9/25/2023,,,,,,,,
9/26/2023,,,,,,,,
9/27/2023,,,,,,,,
9/28/2023,,,,,,,,
9/29/2023,,,,,,,,
9/30/2023,,,,,,,,
10/1/2023,,,,,,,,
10/2/2023,,,,,,,,
