article_id,Count,City
58,"23,800",Chicago
58,"3,300",Philadelphia
58,"10,300",Denver
58,"1,200",LA
59,"12,500",Washington DC
59,"27,300",NYC
59,"22,500",Chicago
59,"3,200",Philadelphia
59,"8,900",Denver
59,"1,100",LA
60,"12,500",Washington DC
60,"25,900",NYC
60,"21,100",Chicago
60,"3,200",Philadelphia
60,"7,800",Denver
60,"1,100",LA
86,"8,100",Washington DC
86,"2,900",NYC
86,870,Chicago
87,"8,100",Washington DC
87,"2,700",NYC
87,770,Chicago
91,"8,200",Washington DC
91,"3,400",NYC
91,"1,100",Chicago
92,"8,200",Washington DC
92,"3,400",NYC
92,"1,000",Chicago
93,"8,200",Washington DC
93,"3,300",NYC
93,"1,000",Chicago
94,"8,200",Washington DC
94,"3,100",NYC
94,920,Chicago
96,"8,400",Washington DC
96,"3,800",NYC
96,"1,200",Chicago
97,"8,300",Washington DC
97,"3,700",NYC
97,"1,200",Chicago
98,"8,300",Washington DC
98,"3,500",NYC
98,"1,100",Chicago
99,"9,000",Washington DC
99,"4,900",NYC
99,"1,500",Chicago
99,600,Philadelphia
100,"8,700",Washington DC
100,"4,500",NYC
100,"1,500",Chicago
100,520,Philadelphia
