Age.Category,X2023..,X2022.,X2021.,X2020,X2019,X2018,X2017,X2016,X2015,X2014,X2013,X2012,X2011,X2009,X2007,X2005
Under 18 Years,19.5,24,26.5,29.9,24.6,29.6,29.2,29.8,29.9,31.1,29.7,31,31,34,33,31
18-24 Years,14.8,11.1,10.9,10.4,8.9,10.1,11.2,10.9,12.1,10.5,9.7,NA,NA,NA,NA,NA
25-34 Years,26,21.3,21.2,22.3,19.5,19.4,20.2,19.8,19,20,19.5,NA,NA,NA,NA,NA
35-44 Years,23.2,30.2,30.1,28.9,34.6,31.5,29.3,33.9,32.6,31.6,35.5,35,36,30,35,34
45-54 Years,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64 Years,9.6,13.4,11.3,8.5,12.4,9.5,10,5.6,6.4,6.8,5.5,4,4,4,3,3
Over 65 Years,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
