Age.Category,X2023..,X2022.,X2021.,X2020,X2019,X2018,X2017,X2016,X2015,X2014,X2013,X2012,X2011,X2009,X2007,X2005
Under 18 Years,16.3,16.2,21.5,21,20.1,22.3,21.3,23.6,21.2,26.8,3.1,NA,28,28,25,26
18-24 Years,12.9,8.5,9.5,9.2,7.7,8.8,9.2,9,10.1,10.2,12.4,NA,NA,NA,NA,NA
25-34 Years,24.5,25.4,23.5,25.6,22.4,23.2,25.1,21.6,23.4,21.5,30.2,NA,NA,NA,NA,NA
35-44 Years,23.6,38.4,32.6,34,37.4,35.5,34.1,39,38.5,34.7,43.4,NA,35,35,38,37
45-54 Years,7.3,11.6,12.9,10.2,12.3,10.3,10.3,6.8,6.8,6.8,10.9,NA,4,4,4,3
55-64 Years,11.2,11.6,12.9,10.2,12.3,10.3,10.3,6.8,6.8,6.8,10.9,NA,4,4,4,3
Over 65 Years,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
