zip,population_2021,pop_10000_2021
60601,14804,1.4804
60602,1142,0.1142
60603,1275,0.1275
60604,687,0.0687
60605,32077,3.2077
60606,3298,0.3298
60607,29990,2.999
60608,83689,8.3689
60609,61861,6.1861
60610,42422,4.2422
60611,34562,3.4562
60612,33908,3.3908
60613,53282,5.3282
60614,72119,7.2119
60615,41767,4.1767
60616,53085,5.3085
60617,84193,8.4193
60618,95078,9.5078
60619,63481,6.3481
60620,69357,6.9357
60621,26538,2.6538
60622,54650,5.465
60623,77352,7.7352
60624,36986,3.6986
60625,80028,8.0028
60632,87395,8.7395
60633,12674,1.2674
60634,77520,7.752
60636,30412,3.0412
60637,49514,4.9514
60638,58959,5.8959
60639,89037,8.9037
60640,67936,6.7936
60641,71003,7.1003
60642,21374,2.1374
60643,49796,4.9796
60644,47630,4.763
60645,48585,4.8585
60646,29326,2.9326
60647,85564,8.5564
60649,48973,4.8973
60651,64638,6.4638
60652,43485,4.3485
60653,34519,3.4519
60654,21859,2.1859
60655,28751,2.8751
60656,28665,2.8665
60657,72113,7.2113
60659,43729,4.3729
60660,44972,4.4972
60661,11073,1.1073
60666,0,0
60707,41309,4.1309
60827,26010,2.601
60626,50295,5.0295
60628,64489,6.4489
60629,107487,10.7487
60630,55591,5.5591
60631,30589,3.0589
