zip,population_acs_2022,pop_10000_2022
60537,551,0.0551
60538,"30,101",3.0101
60539,246,0.0246
60540,"42,756",4.2756
60541,"3,447",0.3447
60542,"18,105",1.8105
60543,"40,714",4.0714
60544,"28,073",2.8073
60545,"13,704",1.3704
60546,"16,470",1.647
60548,"12,040",1.204
60549,691,0.0691
60550,"1,177",0.1177
60551,"4,850",0.485
60552,"4,538",0.4538
60553,666,0.0666
60554,"12,029",1.2029
60555,"14,436",1.4436
60556,"2,216",0.2216
60557,218,0.0218
60558,"13,557",1.3557
60559,"24,411",2.4411
60560,"26,932",2.6932
60561,"22,997",2.2997
60563,"38,702",3.8702
60564,"46,832",4.6832
60565,"38,942",3.8942
60585,"24,754",2.4754
60586,"48,029",4.8029
60601,"16,398",1.6398
60602,938,0.0938
60603,"1,110",0.111
60604,737,0.0737
60605,"34,314",3.4314
60606,"3,513",0.3513
60607,"28,797",2.8797
60608,"82,749",8.2749
60609,"63,241",6.3241
60610,"42,904",4.2904
60611,"35,247",3.5247
60612,"34,459",3.4459
60613,"51,961",5.1961
60614,"71,701",7.1701
60615,"42,780",4.278
60616,"52,707",5.2707
60617,"83,188",8.3188
60618,"92,235",9.2235
60619,"60,443",6.0443
60620,"68,330",6.833
60621,"26,997",2.6997
60622,"53,944",5.3944
60623,"76,611",7.6611
60624,"35,664",3.5664
60625,"80,296",8.0296
60626,"50,135",5.0135
60628,"61,419",6.1419
60629,"108,997",10.8997
60630,"55,295",5.5295
60631,"30,418",3.0418
60632,"86,372",8.6372
60633,"12,440",1.244
60634,"75,873",7.5873
60636,"29,833",2.9833
60637,"51,145",5.1145
60638,"57,799",5.7799
60639,"85,248",8.5248
60640,"67,317",6.7317
60641,"68,968",6.8968
60642,"21,444",2.1444
60643,"48,270",4.827
60644,"49,445",4.9445
60645,"48,692",4.8692
60646,"28,770",2.877
60647,"85,685",8.5685
60649,"50,143",5.0143
60651,"65,229",6.5229
60652,"42,223",4.2223
60653,"34,364",3.4364
60654,"23,475",2.3475
60655,"28,000",2.8
60656,"29,180",2.918
60657,"71,192",7.1192
60659,"42,621",4.2621
60660,"42,895",4.2895
60661,"11,513",1.1513
60706,"24,233",2.4233
60707,"40,845",4.0845
60712,"13,268",1.3268
60714,"30,857",3.0857
60803,"22,198",2.2198
60804,"84,189",8.4189
60805,"19,730",1.973
60827,"25,538",2.5538
60901,"33,968",3.3968
60910,581,0.0581
60911,"1,206",0.1206
60912,565,0.0565
60913,"1,457",0.1457
60914,"28,443",2.8443
60915,"10,081",1.0081
60917,407,0.0407
60918,622,0.0622
60919,517,0.0517
60920,204,0.0204
60921,"1,523",0.1523
60922,"2,557",0.2557
60924,"1,590",0.159
60926,76,0.0076
60927,"2,233",0.2233
60928,559,0.0559
60929,624,0.0624
60930,768,0.0768
60931,594,0.0594
60932,397,0.0397
60933,300,0.03
60934,208,0.0208
60935,"1,235",0.1235
60936,"4,230",0.423
60938,"1,718",0.1718
60939,0,0
60940,"3,399",0.3399
60941,"1,639",0.1639
60942,"5,717",0.5717
60945,242,0.0242
60946,401,0.0401
60948,"1,741",0.1741
60949,517,0.0517
60950,"12,081",1.2081
60951,759,0.0759
60952,653,0.0653
60953,"2,444",0.2444
60954,"5,612",0.5612
60955,"1,877",0.1877
60956,122,0.0122
60957,"5,642",0.5642
60958,"1,476",0.1476
60959,938,0.0938
60960,872,0.0872
60961,898,0.0898
60962,637,0.0637
60963,"1,506",0.1506
60964,"4,887",0.4887
60966,"1,600",0.16
60967,0,0
60968,516,0.0516
60969,60,0.006
60970,"6,025",0.6025
60973,406,0.0406
60974,310,0.031
61001,"1,289",0.1289
61006,"1,460",0.146
61007,325,0.0325
61008,"34,227",3.4227
61010,"7,399",0.7399
61011,"2,681",0.2681
61012,"2,424",0.2424
61013,621,0.0621
61014,"1,064",0.1064
61015,903,0.0903
61016,"5,185",0.5185
61018,953,0.0953
61019,"3,256",0.3256
61020,"3,170",0.317
61021,"22,593",2.2593
61024,"2,524",0.2524
61025,"4,465",0.4465
61027,102,0.0102
61028,"1,639",0.1639
61030,"2,292",0.2292
61031,"1,745",0.1745
61032,"29,359",2.9359
61036,"6,796",0.6796
61037,105,0.0105
61038,"1,233",0.1233
61039,829,0.0829
61041,"1,436",0.1436
61042,428,0.0428
61043,159,0.0159
61044,235,0.0235
61046,"2,659",0.2659
61047,"1,626",0.1626
61048,"3,851",0.3851
61049,644,0.0644
61050,357,0.0357
61051,"1,549",0.1549
61052,"1,038",0.1038
61053,"2,839",0.2839
61054,"3,633",0.3633
61057,67,0.0067
61059,176,0.0176
61060,"1,482",0.1482
61061,"6,880",0.688
61062,"2,015",0.2015
61063,"4,144",0.4144
61064,"3,898",0.3898
61065,"10,681",1.0681
61067,604,0.0604
61068,"14,862",1.4862
