zip,population_acs_2022,pop_10000_2022
62546,"1,564",0.1564
62547,767,0.0767
62548,"2,202",0.2202
62549,"6,684",0.6684
62550,"2,902",0.2902
62551,924,0.0924
62553,359,0.0359
62554,"1,727",0.1727
62555,"1,545",0.1545
62556,321,0.0321
62557,"7,002",0.7002
62558,"3,489",0.3489
62560,"1,408",0.1408
62561,"5,107",0.5107
62563,"5,759",0.5759
62565,"7,590",0.759
62567,899,0.0899
62568,"16,292",1.6292
62570,630,0.063
62571,"1,321",0.1321
62572,530,0.053
62573,"1,319",0.1319
62601,329,0.0329
62610,150,0.015
62611,"1,114",0.1114
62612,"1,482",0.1482
62613,"3,857",0.3857
62615,"5,490",0.549
62617,478,0.0478
62618,"7,318",0.7318
62621,"1,219",0.1219
62622,90,0.009
62624,266,0.0266
62625,874,0.0874
62626,"7,840",0.784
62627,"1,023",0.1023
62628,799,0.0799
62629,"15,245",1.5245
62630,686,0.0686
62631,294,0.0294
62633,603,0.0603
62634,984,0.0984
62635,671,0.0671
62638,"1,288",0.1288
62639,213,0.0213
62640,"3,273",0.3273
62642,"1,417",0.1417
62643,696,0.0696
62644,"4,690",0.469
62649,408,0.0408
62650,"24,627",2.4627
62655,719,0.0719
62656,"18,216",1.8216
62661,"1,477",0.1477
62663,185,0.0185
62664,"2,945",0.2945
62665,"1,361",0.1361
62666,517,0.0517
62667,560,0.056
62668,"1,322",0.1322
62670,"2,514",0.2514
62671,530,0.053
62672,150,0.015
62673,328,0.0328
62674,"1,398",0.1398
62675,"5,877",0.5877
62677,"2,176",0.2176
62681,"5,717",0.5717
62682,751,0.0751
62684,"5,669",0.5669
62685,"1,692",0.1692
62688,852,0.0852
62689,557,0.0557
62690,"3,830",0.383
62691,"2,355",0.2355
62692,"2,228",0.2228
62693,"1,805",0.1805
62694,"2,891",0.2891
62695,473,0.0473
62701,"1,078",0.1078
62702,"32,539",3.2539
62703,"28,809",2.8809
62704,"40,495",4.0495
62706,0,0
62707,"7,725",0.7725
62711,"17,759",1.7759
62712,"10,275",1.0275
62801,"19,976",1.9976
62803,"1,128",0.1128
62806,"3,316",0.3316
62807,832,0.0832
62808,"1,902",0.1902
62809,288,0.0288
62810,"1,032",0.1032
62811,256,0.0256
62812,"11,396",1.1396
62814,"1,782",0.1782
62815,280,0.028
62816,"1,104",0.1104
62817,573,0.0573
62818,409,0.0409
62819,267,0.0267
62820,133,0.0133
62821,"7,005",0.7005
62822,"2,597",0.2597
62823,"1,751",0.1751
62824,"1,865",0.1865
62825,243,0.0243
62827,"1,097",0.1097
62828,"1,359",0.1359
62829,128,0.0128
62830,"1,338",0.1338
62831,380,0.038
62832,"8,986",0.8986
62833,334,0.0334
62835,"1,325",0.1325
62836,913,0.0913
62837,"8,300",0.83
62838,"1,540",0.154
62839,"6,286",0.6286
62841,140,0.014
62842,673,0.0673
62843,90,0.009
62844,"2,002",0.2002
62846,"2,026",0.2026
62848,514,0.0514
62849,"2,039",0.2039
62850,627,0.0627
62851,247,0.0247
62852,132,0.0132
62853,998,0.0998
62854,"1,582",0.1582
62856,351,0.0351
62858,"3,343",0.3343
62859,"5,283",0.5283
62860,468,0.0468
62861,124,0.0124
62862,303,0.0303
62863,"9,519",0.9519
62864,"23,253",2.3253
62865,"1,894",0.1894
62867,485,0.0485
62868,"1,706",0.1706
62869,"2,729",0.2729
62870,"2,232",0.2232
62871,620,0.062
62872,"1,112",0.1112
62874,335,0.0335
62875,"1,235",0.1235
62876,135,0.0135
62877,441,0.0441
62878,250,0.025
62879,46,0.0046
62880,636,0.0636
62881,"10,995",1.0995
62882,"2,162",0.2162
62883,594,0.0594
62884,"2,809",0.2809
62885,369,0.0369
62886,390,0.039
62887,241,0.0241
62888,"1,893",0.1893
62889,"1,111",0.1111
62890,"2,338",0.2338
62891,700,0.07
62892,190,0.019
62893,927,0.0927
62894,841,0.0841
62895,"2,014",0.2014
62896,"10,959",1.0959
62897,530,0.053
62898,"1,955",0.1955
62899,"1,672",0.1672
62901,"23,178",2.3178
62902,"4,344",0.4344
62903,"2,585",0.2585
62905,583,0.0583
62906,"7,217",0.7217
62907,"1,873",0.1873
62908,443,0.0443
62910,"2,150",0.215
62912,"1,668",0.1668
62914,"1,880",0.188
62915,431,0.0431
62916,830,0.083
62917,"2,516",0.2516
62918,"10,844",1.0844
62919,731,0.0731
62920,"3,017",0.3017
62921,243,0.0243
62922,"2,824",0.2824
62923,404,0.0404
62924,"2,812",0.2812
62926,"2,167",0.2167
62927,299,0.0299
62928,71,0.0071
62930,"5,630",0.563
62931,"1,335",0.1335
62932,"1,238",0.1238
62933,"1,253",0.1253
62934,715,0.0715
62935,"2,200",0.22
62938,"2,874",0.2874
62939,"2,693",0.2693
62940,729,0.0729
62941,500,0.05
62942,565,0.0565
62943,312,0.0312
62946,"11,795",1.1795
62947,401,0.0401
62948,"12,679",1.2679
62949,770,0.077
62950,160,0.016
62951,"5,574",0.5574
62952,"3,050",0.305
62953,333,0.0333
62954,590,0.059
62956,"1,206",0.1206
62957,655,0.0655
62958,"2,091",0.2091
62959,"27,255",2.7255
62960,"10,719",1.0719
62961,45,0.0045
62962,0,0
62963,798,0.0798
62964,"1,170",0.117
62965,45,0.0045
62966,"14,198",1.4198
62967,344,0.0344
62969,342,0.0342
62970,405,0.0405
62972,"1,128",0.1128
62974,"1,523",0.1523
62975,169,0.0169
62976,351,0.0351
62977,632,0.0632
62979,948,0.0948
62982,"1,131",0.1131
62983,"1,521",0.1521
62984,"1,558",0.1558
62985,998,0.0998
62987,"1,788",0.1788
62988,"1,141",0.1141
62990,"1,155",0.1155
62992,718,0.0718
62994,697,0.0697
62995,"6,408",0.6408
62996,656,0.0656
62997,656,0.0656
62998,198,0.0198
62999,"1,520",0.152
